cncdate,shares,amount,buy_flag
2019-09-09,1828.0,249979.0,0
2019-11-01,2830.0,441083.8000000001,0
2019-11-04,13942.0,2188875.7800000003,0
2019-11-05,1268.0,199532.48,0
2019-11-06,2516.0,395842.28,0
2019-11-11,1500.0,240195.0,0
2019-11-13,35020.0,5609153.399999999,0
2019-11-18,3744.0,599398.88,0
2019-11-25,3403.0,541885.75,0
2019-11-26,2100.0,340809.0,0
2020-02-06,6262.0,964473.24,0
2020-02-18,1500.0,229215.0,0
2020-02-19,409.0,63210.95,0
2020-03-03,1725.0,226699.5,0
2020-03-05,1725.0,216487.5,1
2020-05-18,1000.0,117120.0,0
2020-05-19,2599.0,307305.76,0
2020-08-05,900.0,115687.8,0
2020-08-06,10000.0,1304300.0,0
2020-08-07,23413.0,3072858.015,0
2020-08-10,4149.0,547183.5228,0
2020-08-11,16375.0,2186553.75,0
2020-08-12,53779.0,7066160.559999999,0
2020-08-25,15051.0,2002956.7800000005,0
2020-08-26,2090.0,275597.85000000003,0
2020-11-04,3692.0,525190.36,0
2020-11-06,612.0,89976.24,0
2020-11-09,38467.0,6063011.67,0
2020-11-10,5492.0,871606.65,0
2020-11-13,1000.0,156300.0,0
2020-11-16,11201.0,1782277.98,0
2021-02-11,2983.0,539923.0,0
2021-02-12,7120.0,1295016.0,0
2021-02-19,5138.0,947001.14,0
2021-03-01,44804.0,8223761.95,0
2021-03-12,1368.0,254385.1,0
2021-05-05,8328.0,1894006.68,0
2021-05-07,45763.0,10662581.670000002,0
2021-05-10,54361.0,12641579.221,0
2021-05-12,1598.0,357488.58,0
2021-05-24,1724.0,400812.76,0
2021-06-11,872.0,203176.0,0
2021-08-04,4536.0,1339157.12,0
2021-08-05,4030.0,1185263.3,0
2021-08-10,375.0,109466.25,0
2021-08-11,4522.0,1335452.6,0
2021-08-12,1458.0,442298.88,0
2021-08-16,854.0,261674.14,0
2021-08-18,3942.0,1225831.51,0
2021-08-20,1350.0,408955.5,0
2021-08-23,1700.0,518007.0,0
2021-08-30,4267.0,1311693.56,0
2021-09-03,3177.0,992812.5,0
2021-11-05,872.0,287106.0,0
2021-11-09,28937.0,9754277.35,0
2021-11-16,600.0,201000.0,0
2021-11-17,3959.0,1318800.2,0
2021-11-30,1043.0,332351.94999999995,0
2021-12-02,1547.0,492301.81000000006,0
2021-12-07,1800.0,567576.0,0
2021-12-10,1000.0,320290.0,0
2021-12-15,3150.0,1000125.0,0
2022-02-15,1000.0,297080.0,0
2022-03-01,1000.0,273410.0,0
2022-03-02,2541.0,721269.6000000001,0
2022-05-04,4541.0,1231837.0699999998,0
2022-05-06,700.0,176393.0,1
2022-05-23,500.0,125410.0,0
2022-05-25,12081.0,3020250.0,0
2022-05-26,2411.0,617658.25,0
2022-05-27,1000.0,260000.0,0
2022-06-07,224.0,59743.03999999999,0
2022-06-08,250.0,66820.0,0
2022-08-03,18628.0,5469076.86,0
2022-08-04,11584.0,3368390.2700000005,0
2022-08-05,695.0,204545.45,0
2022-08-08,1197.0,359100.0,0
2022-08-12,5577.0,1691392.5599999998,0
2022-08-15,1000.0,310000.0,0
2022-08-17,300.0,94356.0,0
2022-09-12,645.0,199962.9,0
2022-11-02,23810.0,7746146.39,0
2022-11-03,252.0,80556.84000000001,0
2022-11-04,3035.0,967759.5400000002,0
2022-11-08,1395.0,452882.1,0
2022-11-10,664.0,223064.16,0
2022-11-11,700.0,240604.00000000003,0
2022-11-15,690.0,235769.9,0
2022-11-18,1295.0,433760.25,0
2022-11-23,571.0,197046.39,0
2022-12-01,200.0,71242.0,0
2022-12-09,1270.0,436130.7,0
2023-02-09,20030.0,7050825.3,0
2023-02-13,3471.0,1215405.36,0
2023-02-14,8807.0,3088276.89,0
2023-02-16,5604.0,1966053.88,0
2023-03-02,1850.0,609630.5,0
2023-03-03,2733.0,911176.09,0
2023-03-06,4510.0,1540300.2999999998,0
2023-03-14,1589.0,512130.89,0
2023-05-04,1327.0,396958.78,0
2023-05-12,1200.0,372108.0,0
2023-05-16,2007.0,641256.03,0
2023-05-17,369.0,119334.6,0
2023-05-18,792.0,259063.2,0
2023-05-22,835.0,277420.4,0
2023-05-26,4094.0,1407419.1,0
2023-06-07,893.0,303035.36,0
2023-06-09,14054.0,4861171.82,0
2023-06-13,1420.0,502626.0,0
2023-06-15,887.0,316463.86,0
2023-08-23,7938.0,2659944.42,0
2023-09-01,716.0,250442.48,0
2023-09-07,10000.0,3521600.0000000005,0
2023-09-08,10000.0,3559096.4800000004,0
2023-11-06,19091.0,7411008.98,0
2023-11-07,42643.0,16869612.78,0
2023-11-08,11769.0,4703644.9,0
